Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Population density (people per sq. km of land area),EN.POP.DNST,IDA only,IDX,27.65732711,35.5307584,46.62724749,47.66297234,48.71297374,49.80279303,50.96375319,52.16985251,53.40065455,54.67466133,55.98560133,..
Population density (people per sq. km of land area),EN.POP.DNST,IDA total,IDA,34.26686091,44.22836368,58.28224335,59.55936019,60.84405092,62.14180286,63.50638522,64.92584194,66.38738292,67.89688796,69.45757456,..
Population density (people per sq. km of land area),EN.POP.DNST,Late-demographic dividend,LTE,41.45512289,45.92291638,49.63474979,49.99641113,50.34715986,50.6725072,50.98842551,51.31344169,51.59159049,51.82738037,52.00180046,..
Population density (people per sq. km of land area),EN.POP.DNST,Latin America & Caribbean,LCN,22.00158376,26.00854222,30.04389415,30.37203621,30.69227297,31.00869739,31.32209484,31.62831081,31.91920078,32.20202845,32.46347703,..
Population density (people per sq. km of land area),EN.POP.DNST,Latin America & Caribbean (excluding high income),LAC,21.85488218,25.84772396,29.86807769,30.19788869,30.51974232,30.83856517,31.15951304,31.49116006,31.83640373,32.17242728,32.46509446,..
Population density (people per sq. km of land area),EN.POP.DNST,Latin America & the Caribbean (IDA & IBRD countries),TLA,21.38589438,25.37482083,29.42642226,29.75387006,30.07768759,30.39838647,30.71638788,31.02812527,31.32759983,31.61254707,31.87190988,..
Population density (people per sq. km of land area),EN.POP.DNST,Least developed countries: UN classification,LDC,25.52775309,32.8917973,43.40364181,44.47055709,45.56211686,46.66649651,47.81120657,48.98900103,50.17571563,51.38656492,52.63930013,..
Population density (people per sq. km of land area),EN.POP.DNST,Low & middle income,LMY,45.39046874,53.62581876,63.07564195,63.94236855,64.80721098,65.66000354,66.51154941,67.37089107,68.20634722,69.02220687,69.80781297,..
Population density (people per sq. km of land area),EN.POP.DNST,Low income,LIC,19.58471022,25.92460299,35.94251133,36.86987605,37.80089607,38.77149211,39.80964086,40.89667972,42.02606632,43.21812376,44.43677551,..
Population density (people per sq. km of land area),EN.POP.DNST,Lower middle income,LMC,81.38196456,99.03668948,120.6174753,122.4811099,124.3431721,126.1599448,127.9919411,129.8503123,131.6470983,133.4060022,135.1440262,..
